advmean,advstd,best_ret,epcount,eprew,ev_ext,ev_int,mem_available,n_rooms,n_updates,opt_approxkl,opt_auxloss,opt_clipfrac,opt_ent,opt_featvar,opt_gradnorm,opt_maxfeat,opt_maxkl,opt_pg,opt_tot,opt_vf,reset_counter,retextmean,retextstd,retintmean,retintstd,rewintmax_norm,rewintmax_unnorm,rewintmean_norm,rewintmean_unnorm,rewintstd_unnorm,rooms,tcount,time_elapsed,tps,vpredextmean,vpredextstd,vpredintmean,vpredintstd,wait_policy_inference,wait_step,wait_update,eplen,eprooms,rewtotal
0.62683284,0.24281088,-inf,0,nan,-1.0,0.0003483891487121582,11044212736,0,1,0.005658837,0.53716904,0.68359375,2.88467,0.4141137,3.7387302,3.96401,0.018950472,-0.6311963,-0.010694921,0.086217076,0,-0.0028375755,0.0001683824,0.62841535,0.2427819,0.09998541,4.2395015,0.042191595,1.7889743,0.9181141,[],0,79.36543488502502,12.904010004069917,-0.0032921403,0.00043752277,0.0024915668,0.00040237614,1.8586103916168213,7.28976583480835,3.2117512226104736,,,
0.2638425,0.13640502,-inf,0,nan,-0.33911824226379395,-0.021263837814331055,11072139264,0,2,0.0021571727,0.36417386,0.12890625,2.8804681,0.30014396,2.8690777,3.9467635,0.009972264,-0.22637334,0.15883175,0.023911698,0,-0.0016129076,0.00020820687,0.60909855,0.13498831,0.058005847,2.21405,0.021144895,0.8070886,0.45454562,[],0,84.16447377204895,213.37608982233013,-0.0018325176,0.0002808443,0.34569526,0.017962167,0.5169966220855713,4.7965264320373535,2.7358083724975586,,,
0.224296,0.14661244,0.0,3,0.0,-0.7667754888534546,-0.1098870038986206,11062321152,1,3,0.0039725523,0.3678986,0.29296875,2.8702004,0.36532244,1.287629,4.2670283,0.014583098,-0.22067988,0.15152285,0.0071743093,0,-0.0019648285,0.0002407,0.9420532,0.13921922,0.062091716,2.042346,0.022491205,0.7397899,0.43231937,[1],836,89.00044560432434,211.74646690071856,-0.002293367,0.00028611784,0.71841425,0.02868127,0.5111827850341797,4.833841323852539,2.7429771423339844,278.6666666666667,1.0,0.0
0.15831071,0.13679974,0.0,7,0.0,-0.17103350162506104,-0.11334538459777832,11063119872,1,4,0.002119564,0.42520145,0.109375,2.8667424,0.45140347,0.48642755,4.0560718,0.012548424,-0.24639253,0.18174855,0.005806393,0,-0.0023654622,0.00045634134,1.1683137,0.12958154,0.06509652,2.002761,0.02061712,0.6343068,0.38520408,[1],2533,94.02396726608276,203.84105421415993,-0.0029325783,0.00019901143,1.0111372,0.03410677,0.5090441703796387,5.0210254192352295,2.938157081604004,361.85714285714283,1.0,0.0
0.108996965,0.13185069,0.0,7,0.0,-0.4630575180053711,-0.004264473915100098,11061923840,1,5,0.0028221353,0.27048475,0.2421875,2.859181,0.28454566,2.4921217,3.6373997,0.011386179,-0.051269144,0.22886384,0.01250741,0,-7.665259e-05,5.5317276e-05,1.3484193,0.13157791,0.059009884,1.7529614,0.019405752,0.5764718,0.3726866,[1],2533,98.84769177436829,212.28409670600288,-8.8629124e-05,8.82477e-05,1.2394463,0.0011676686,0.5352323055267334,4.82136344909668,2.73848819732666,361.85714285714283,1.0,0.0
0.09592624,0.11486424,0.0,14,0.0,0.32642024755477905,-0.14444446563720703,11059449856,1,6,0.002007021,0.37291324,0.14453125,2.8490365,0.44670314,0.49578297,4.117188,0.007840301,-0.15869805,0.21565695,0.004290807,0,-0.0012675897,0.0003836307,1.4829444,0.10750846,0.055081382,1.5826229,0.020251881,0.58188605,0.3400137,[1],5318,103.70172619819641,210.95855760027828,-0.0016383438,0.00025191286,1.3877597,0.039880905,0.5216982364654541,4.851836442947388,2.7277116775512695,379.85714285714283,1.0,0.0
0.08574489,0.09648137,0.0,15,0.0,0.6351374089717865,-0.008731842041015625,11057565696,1,7,0.0029075202,0.28510237,0.171875,2.8432415,0.37591884,1.3118253,4.113393,0.00852223,-0.07163517,0.21719131,0.006567353,0,-0.00032969596,0.0001096386,1.6129323,0.09606759,0.0715887,1.9770701,0.020878572,0.5766049,0.29394627,[1],5693,108.85493493080139,198.71113431610115,-0.00040433806,0.00014364319,1.5273366,0.012464751,0.5141592025756836,5.150968313217163,3.1005263328552246,379.53333333333336,1.0,0.0
0.13790955,0.12841757,0.0,17,0.0,0.7681014686822891,-0.004996061325073242,11053281280,1,8,0.0025001012,0.40523812,0.1484375,2.838892,0.49867254,0.51193136,3.7441053,0.0131340055,-0.18285407,0.22629222,0.0067470693,0,-0.00034153226,0.00019184998,1.788065,0.12809765,0.06467275,1.70337,0.025540374,0.67268986,0.33663163,[1],6227,113.705078125,211.12777678152892,-0.00042950566,0.00023532908,1.6503315,0.015377692,0.5234165191650391,4.8479673862457275,2.7633187770843506,366.29411764705884,1.0,0.0
0.055417772,0.13769588,0.0,19,0.0,0.908263772726059,0.01660698652267456,11054399488,1,9,0.0017206756,0.365975,0.109375,2.8403432,0.46202245,0.82957405,4.094878,0.007408991,-0.11735298,0.26197106,0.016189395,0,-0.00026674682,0.00029959835,1.8946838,0.13889897,0.06607505,1.6766856,0.022368107,0.56760126,0.325695,[1],7047,118.65656685829163,206.8064690326502,-0.000319804,0.00034986576,1.8393722,0.015306543,0.5163359642028809,4.9492409229278564,2.884692907333374,370.89473684210526,1.0,0.0
0.00794423,0.086660616,0.0,22,0.0,0.9331797733902931,-0.011462688446044922,11054166016,1,10,0.0017096833,0.25463215,0.0625,2.8374002,0.38863766,0.26581025,4.024618,0.0062460173,-0.0033308547,0.25363418,0.0051703076,0,-0.00046577313,0.00031527336,1.9251585,0.08620478,0.051229633,1.27556,0.019358635,0.4820081,0.26150817,[1],8555,123.65305805206299,204.94386074896266,-0.0005619356,0.00036204196,1.9174068,0.017657088,0.5324053764343262,4.994159936904907,2.8697566986083984,388.8636363636364,1.0,0.0
